projectId;projectName;sample_id;sourceId;particId
6;Passion, Families;1378;1029-1;1029-1
6;Passion, Families;3067;1152-1;1152-1
6;Passion, Families;3533;1189-1;1189-1
6;Passion, Families;3747;1220-1;1220-1
6;Passion, Families;22676;609-2;609-2
6;Passion, Families;26046;668-1;668-1
6;Passion, Families;26482;705-2;705-2
6;Passion, Families;26600;718-2;718-2
6;Passion, Families;28394;825-1;825-1
6;Passion, Families;29591;912-1;912-1
6;Passion, Families;29653;918-1;918-1
6;Passion, Families;35343;F106-2;F106-2
6;Passion, Families;35370;F110-11;F110-11
6;Passion, Families;35396;F117-2;F117-2
6;Passion, Families;35403;F119-1;F119-1
6;Passion, Families;35414;F120-1;F120-1
6;Passion, Families;35416;F120-2;F120-2
6;Passion, Families;35424;F12-101;F12-101
6;Passion, Families;35516;F151-3;F151-3
6;Passion, Families;35517;F152-1;F152-1
6;Passion, Families;35518;F153-3;F153-3
6;Passion, Families;35519;F154-3;F154-3
6;Passion, Families;35520;F156-1;F156-1
6;Passion, Families;35521;F157-3;F157-3
6;Passion, Families;35522;F160-3;F160-3
6;Passion, Families;35523;F179-3;F179-3
6;Passion, Families;35524;F189-3;F189-3
6;Passion, Families;35525;F190-3;F190-3
6;Passion, Families;35526;F19-1;F19-1
6;Passion, Families;35530;F1-FS1;F1-FS1
6;Passion, Families;35532;F20-1;F20-1
6;Passion, Families;35542;F205-3;F205-3
6;Passion, Families;35550;F210-3;F210-3
6;Passion, Families;35553;F21-1;F21-1
6;Passion, Families;35558;F214-3;F214-3
6;Passion, Families;35564;F229-3;F229-3
6;Passion, Families;35568;F231-3;F231-3
6;Passion, Families;35572;F232-3;F232-3
6;Passion, Families;35576;F234-3;F234-3
6;Passion, Families;35580;F237-3;F237-3
6;Passion, Families;35584;F24-11;F24-11
6;Passion, Families;35591;F251-3;F251-3
6;Passion, Families;35602;F256-3;F256-3
6;Passion, Families;35608;F258-3;F258-3
6;Passion, Families;35613;F26-1;F26-1
6;Passion, Families;35617;F270-3;F270-3
6;Passion, Families;35622;F27-1;F27-1
6;Passion, Families;35625;F271-3;F271-3
6;Passion, Families;35628;F279-3;F279-3
6;Passion, Families;35635;F280-3;F280-3
6;Passion, Families;35641;F282-3;F282-3
6;Passion, Families;35647;F286-3;F286-3
6;Passion, Families;35674;F292-3;F292-3
6;Passion, Families;35677;F30-1;F30-1
6;Passion, Families;35681;F307-3;F307-3
6;Passion, Families;35691;F310-3;F310-3
6;Passion, Families;35695;F317-3;F317-3
6;Passion, Families;35698;F318-3;F318-3
6;Passion, Families;35707;F320-3;F320-3
6;Passion, Families;35711;F32-1;F32-1
6;Passion, Families;35726;F330-3;F330-3
6;Passion, Families;35734;F33-2;F33-2
6;Passion, Families;35746;F347-3;F347-3
6;Passion, Families;35753;F356-3;F356-3
6;Passion, Families;35761;F359-3;F359-3
6;Passion, Families;35766;F36-1;F36-1
6;Passion, Families;35767;F361-3;F361-3
